         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       42    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       45    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       45    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       27    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        5    0.000    0.000    0.000    0.000 inspect.py:764(unwrap)
        5    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:677(cache)
        2    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       43    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 typing.py:2211(__init_subclass__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        4    0.000    0.000    0.000    0.000 {built-in method _io.open}
        3    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(__init__)
       40    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 __init__.py:1120(__init__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.000    0.000 __init__.py:1491(setLevel)
       12    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        9    0.000    0.000    0.000    0.000 dataclasses.py:383(field)
        1    0.000    0.000    0.000    0.000 _local.py:245(_from_parsed_parts)
        6    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
       25    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
