         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
     15/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 typing.py:2066(__new__)
        4    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
        1    0.000    0.000    0.000    0.000 sqlite_writer.py:9(SqliteWriter)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1222(_add_slots)
     15/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       21    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
       12    0.000    0.000    0.000    0.000 typing.py:1380(__setattr__)
        1    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        3    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
       17    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
        2    0.000    0.000    0.000    0.000 typing.py:2085(__init__)
       10    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       80    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        3    0.000    0.000    0.000    0.000 inspect.py:2008(_signature_get_user_defined_method)
       10    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
        5    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2114(_signature_bound_method)
       67    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.000    0.000 typing.py:1939(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 dataclasses.py:668(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 threading.py:1353(__init__)
        6    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
       66    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
        1    0.000    0.000    0.000    0.000 _local.py:329(parent)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 typing.py:1319(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        4    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       31    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       59    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        5    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
        1    0.000    0.000    0.000    0.000 inspect.py:3119(replace)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
       13    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
        3    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       12    0.000    0.000    0.000    0.000 typing.py:1306(_is_dunder)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
      7/5    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       44    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       47    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       47    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       47    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:328(Integral)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       46    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        5    0.000    0.000    0.000    0.000 inspect.py:764(unwrap)
        2    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
        1    0.000    0.000    0.000    0.000 functools.py:677(cache)
        5    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
       40    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       27    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
        2    0.000    0.000    0.000    0.000 typing.py:2211(__init_subclass__)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(__init__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:792(_code_to_timestamp_pyc)
       12    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       33    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 __init__.py:1120(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 __init__.py:1491(setLevel)
        6    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
        3    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
