         60469805 function calls (60469309 primitive calls) in 376.325 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_validate_hash_pyc)
        1    0.000    0.000    0.000    0.000 dataclasses.py:886(_hash_add)
        2    0.000    0.000    0.000    0.000 __init__.py:265(_register_at_fork_reinit_lock)
        3    0.000    0.000    0.000    0.000 enum.py:1439(_iter_member_by_value_)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        6    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       13    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       16    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 threading.py:281(__init__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
       19    0.000    0.000    0.000    0.000 inspect.py:2816(name)
        1    0.000    0.000    0.000    0.000 _abc.py:403(PathBase)
        5    0.000    0.000    0.000    0.000 _local.py:505(__new__)
        4    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       14    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:458(validate)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
